"VILLE",CODE_INSEE,LONGITUDE,LATITUDE,DATE,INDICE_QUALITE_AIR,SOUS_INDICE_OZONE,SOUS_INDICE_PARTICULES_FINES,SOUS_INDICE_DIOXYDE_D'AZOTE,SOUS_INDICE_DIOXYDE_DE_SOUFRE,"CODE_COULEUR"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,28/02/2005,3,3,2,2,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,01/03/2005,4,4,3,4,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,02/03/2005,4,4,2,3,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,03/03/2005,3,3,2,2,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,04/03/2005,3,3,2,2,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,05/03/2005,4,4,2,2,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,06/03/2005,4,4,2,2,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,07/03/2005,4,4,3,3,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,08/03/2005,3,3,3,3,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,09/03/2005,3,3,2,3,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,10/03/2005,3,3,3,3,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,11/03/2005,4,4,2,3,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,12/03/2005,4,4,3,2,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,13/03/2005,4,4,2,2,2,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,14/03/2005,4,4,3,3,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,15/03/2005,5,5,4,2,1,"ORANGE"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,16/03/2005,5,4,5,3,1,"ORANGE"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,17/03/2005,4,4,1,2,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,18/03/2005,3,3,3,3,3,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,19/03/2005,5,5,3,4,2,"ORANGE"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,20/03/2005,5,5,3,3,1,"ORANGE"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,21/03/2005,5,4,5,3,1,"ORANGE"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,22/03/2005,4,4,3,1,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,23/03/2005,4,4,3,2,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,24/03/2005,4,4,2,1,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,25/03/2005,4,4,2,3,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,26/03/2005,4,4,2,1,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,27/03/2005,4,4,1,1,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,28/03/2005,4,4,2,1,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,29/03/2005,4,4,2,1,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,30/03/2005,4,4,2,1,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,31/03/2005,4,4,2,2,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,01/04/2005,4,4,2,2,2,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,02/04/2005,5,5,2,1,1,"ORANGE"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,03/04/2005,4,4,3,1,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,04/04/2005,4,4,2,2,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,05/04/2005,4,4,2,2,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,06/04/2005,4,4,3,1,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,07/04/2005,4,4,1,1,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,08/04/2005,3,3,1,1,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,09/04/2005,4,4,2,1,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,10/04/2005,4,4,2,1,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,11/04/2005,4,4,2,2,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,12/04/2005,4,4,2,1,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,13/04/2005,4,4,1,1,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,14/04/2005,4,4,1,2,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,15/04/2005,4,4,2,3,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,16/04/2005,4,4,2,1,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,17/04/2005,4,4,2,2,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,18/04/2005,5,5,2,1,1,"ORANGE"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,19/04/2005,4,4,2,1,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,20/04/2005,4,4,2,1,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,21/04/2005,5,5,2,3,1,"ORANGE"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,22/04/2005,4,4,2,1,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,23/04/2005,4,4,2,1,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,24/04/2005,4,4,2,1,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,25/04/2005,4,4,2,1,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,26/04/2005,4,4,2,1,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,27/04/2005,4,4,2,1,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,28/04/2005,4,4,2,1,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,29/04/2005,4,4,2,1,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,30/04/2005,6,6,3,2,2,"ORANGE"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,01/05/2005,4,4,2,1,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,02/05/2005,4,4,2,2,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,03/05/2005,4,4,2,1,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,04/05/2005,4,4,2,1,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,05/05/2005,5,5,2,1,1,"ORANGE"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,06/05/2005,4,4,2,1,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,07/05/2005,4,4,2,1,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,08/05/2005,4,4,2,1,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,09/05/2005,5,5,2,1,1,"ORANGE"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,10/05/2005,5,5,2,2,2,"ORANGE"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,11/05/2005,4,4,2,2,2,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,12/05/2005,4,4,2,2,2,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,13/05/2005,4,4,2,2,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,14/05/2005,5,5,2,1,1,"ORANGE"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,15/05/2005,4,4,1,2,1,"VERT"
"SAINT-NAZAIRE",44184,-2.210437, 47.278984,16/05/2005,4,4,2,2,1,"VERT"
