"VILLE",CODE_INSEE,LONGITUDE,LATITUDE,DATE,INDICE_QUALITE_AIR,SOUS_INDICE_OZONE,SOUS_INDICE_PARTICULES_FINES,SOUS_INDICE_DIOXYDE_D'AZOTE,SOUS_INDICE_DIOXYDE_DE_SOUFRE,"CODE_COULEUR"
"CHOLET",49099,-0.880303, 47.058123,09/03/2005,3,3,2,3,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,10/03/2005,3,3,3,2,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,11/03/2005,4,4,3,2,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,12/03/2005,4,4,2,2,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,13/03/2005,4,4,2,3,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,14/03/2005,4,4,3,4,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,15/03/2005,5,5,4,4,1,"ORANGE"
"CHOLET",49099,-0.880303, 47.058123,16/03/2005,5,5,5,4,1,"ORANGE"
"CHOLET",49099,-0.880303, 47.058123,17/03/2005,3,3,2,3,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,18/03/2005,4,4,2,3,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,19/03/2005,5,5,2,3,1,"ORANGE"
"CHOLET",49099,-0.880303, 47.058123,20/03/2005,5,5,2,3,1,"ORANGE"
"CHOLET",49099,-0.880303, 47.058123,21/03/2005,4,4,3,2,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,22/03/2005,4,4,3,3,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,23/03/2005,4,4,3,2,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,24/03/2005,4,4,2,3,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,25/03/2005,4,4,2,2,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,26/03/2005,4,4,2,1,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,27/03/2005,4,4,1,1,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,28/03/2005,4,4,2,1,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,29/03/2005,4,4,1,1,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,30/03/2005,3,3,2,2,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,31/03/2005,4,4,2,2,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,01/04/2005,4,4,2,2,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,02/04/2005,5,5,2,1,1,"ORANGE"
"CHOLET",49099,-0.880303, 47.058123,03/04/2005,4,4,2,1,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,04/04/2005,4,4,3,3,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,05/04/2005,4,4,1,2,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,06/04/2005,4,4,2,2,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,07/04/2005,4,4,1,1,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,08/04/2005,3,3,2,1,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,09/04/2005,4,4,2,2,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,10/04/2005,4,4,2,1,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,11/04/2005,4,4,2,1,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,12/04/2005,4,4,2,2,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,13/04/2005,4,4,2,2,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,14/04/2005,4,4,1,1,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,15/04/2005,4,4,1,3,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,16/04/2005,4,4,1,1,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,17/04/2005,4,4,1,2,,"VERT"
"CHOLET",49099,-0.880303, 47.058123,18/04/2005,4,4,1,1,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,19/04/2005,4,4,1,1,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,20/04/2005,4,4,2,2,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,21/04/2005,5,5,2,2,1,"ORANGE"
"CHOLET",49099,-0.880303, 47.058123,22/04/2005,4,4,2,1,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,23/04/2005,4,4,2,2,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,24/04/2005,4,4,1,1,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,25/04/2005,4,4,2,2,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,26/04/2005,4,4,2,1,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,27/04/2005,4,4,2,2,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,28/04/2005,4,4,2,2,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,29/04/2005,3,3,2,1,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,30/04/2005,6,6,2,2,,"ORANGE"
"CHOLET",49099,-0.880303, 47.058123,01/05/2005,4,4,3,2,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,02/05/2005,4,4,2,1,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,03/05/2005,4,4,2,2,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,04/05/2005,3,3,1,1,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,05/05/2005,5,5,2,1,1,"ORANGE"
"CHOLET",49099,-0.880303, 47.058123,06/05/2005,4,4,2,1,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,07/05/2005,4,4,1,1,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,08/05/2005,4,4,1,1,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,09/05/2005,4,4,2,1,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,10/05/2005,5,5,2,1,1,"ORANGE"
"CHOLET",49099,-0.880303, 47.058123,11/05/2005,5,5,2,1,1,"ORANGE"
"CHOLET",49099,-0.880303, 47.058123,12/05/2005,4,4,2,2,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,13/05/2005,4,4,2,1,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,14/05/2005,4,4,2,1,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,15/05/2005,4,4,1,1,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,16/05/2005,4,4,2,1,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,17/05/2005,4,4,2,1,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,18/05/2005,4,4,2,1,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,19/05/2005,4,4,1,1,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,20/05/2005,4,4,2,2,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,21/05/2005,4,4,2,1,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,22/05/2005,4,4,2,1,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,23/05/2005,4,4,2,2,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,24/05/2005,5,5,2,2,,"ORANGE"
"CHOLET",49099,-0.880303, 47.058123,25/05/2005,5,5,2,2,1,"ORANGE"
"CHOLET",49099,-0.880303, 47.058123,26/05/2005,7,7,3,2,1,"ORANGE"
"CHOLET",49099,-0.880303, 47.058123,27/05/2005,7,7,3,2,1,"ORANGE"
"CHOLET",49099,-0.880303, 47.058123,28/05/2005,4,4,2,1,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,29/05/2005,3,3,1,1,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,30/05/2005,4,4,2,1,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,31/05/2005,5,5,2,2,1,"ORANGE"
"CHOLET",49099,-0.880303, 47.058123,01/06/2005,4,4,2,2,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,02/06/2005,5,5,2,1,,"ORANGE"
"CHOLET",49099,-0.880303, 47.058123,03/06/2005,4,4,2,2,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,04/06/2005,4,4,2,1,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,05/06/2005,3,3,1,1,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,06/06/2005,2,2,2,1,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,07/06/2005,4,4,2,1,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,08/06/2005,2,,2,1,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,09/06/2005,5,5,2,2,1,"ORANGE"
"CHOLET",49099,-0.880303, 47.058123,10/06/2005,5,5,2,1,1,"ORANGE"
"CHOLET",49099,-0.880303, 47.058123,11/06/2005,5,5,2,1,1,"ORANGE"
"CHOLET",49099,-0.880303, 47.058123,12/06/2005,5,5,2,1,1,"ORANGE"
"CHOLET",49099,-0.880303, 47.058123,13/06/2005,5,5,2,1,1,"ORANGE"
"CHOLET",49099,-0.880303, 47.058123,14/06/2005,5,5,2,1,1,"ORANGE"
"CHOLET",49099,-0.880303, 47.058123,15/06/2005,4,4,2,1,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,16/06/2005,4,4,2,1,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,17/06/2005,4,4,2,1,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,18/06/2005,4,4,1,1,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,19/06/2005,5,5,2,1,1,"ORANGE"
"CHOLET",49099,-0.880303, 47.058123,20/06/2005,5,5,2,1,1,"ORANGE"
"CHOLET",49099,-0.880303, 47.058123,21/06/2005,5,5,2,1,1,"ORANGE"
"CHOLET",49099,-0.880303, 47.058123,22/06/2005,6,6,2,1,1,"ORANGE"
"CHOLET",49099,-0.880303, 47.058123,23/06/2005,7,7,3,2,1,"ORANGE"
"CHOLET",49099,-0.880303, 47.058123,24/06/2005,5,5,2,1,1,"ORANGE"
"CHOLET",49099,-0.880303, 47.058123,25/06/2005,5,5,2,1,1,"ORANGE"
"CHOLET",49099,-0.880303, 47.058123,26/06/2005,6,6,2,1,1,"ORANGE"
"CHOLET",49099,-0.880303, 47.058123,27/06/2005,6,6,3,1,1,"ORANGE"
"CHOLET",49099,-0.880303, 47.058123,28/06/2005,4,4,3,2,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,29/06/2005,4,4,2,2,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,30/06/2005,3,3,1,1,1,"VERT"
"CHOLET",49099,-0.880303, 47.058123,01/07/2005,3,3,2,1,,"VERT"
"CHOLET",49099,-0.880303, 47.058123,02/07/2005,4,4,2,1,,"VERT"
"CHOLET",49099,-0.880303, 47.058123,03/07/2005,4,4,2,1,,"VERT"
"CHOLET",49099,-0.880303, 47.058123,04/07/2005,3,3,1,1,,"VERT"
"CHOLET",49099,-0.880303, 47.058123,05/07/2005,3,3,1,1,,"VERT"
"CHOLET",49099,-0.880303, 47.058123,06/07/2005,3,3,1,1,,"VERT"
"CHOLET",49099,-0.880303, 47.058123,07/07/2005,3,3,2,1,,"VERT"
"CHOLET",49099,-0.880303, 47.058123,08/07/2005,4,4,2,2,,"VERT"
"CHOLET",49099,-0.880303, 47.058123,09/07/2005,5,5,2,1,,"ORANGE"
"CHOLET",49099,-0.880303, 47.058123,10/07/2005,6,6,2,1,,"ORANGE"
"CHOLET",49099,-0.880303, 47.058123,11/07/2005,5,5,2,1,,"ORANGE"
"CHOLET",49099,-0.880303, 47.058123,12/07/2005,6,6,3,1,,"ORANGE"
"CHOLET",49099,-0.880303, 47.058123,13/07/2005,6,6,3,1,,"ORANGE"
"CHOLET",49099,-0.880303, 47.058123,14/07/2005,7,7,4,3,,"ORANGE"
"CHOLET",49099,-0.880303, 47.058123,15/07/2005,7,7,4,2,,"ORANGE"
"CHOLET",49099,-0.880303, 47.058123,16/07/2005,7,7,3,1,,"ORANGE"
"CHOLET",49099,-0.880303, 47.058123,17/07/2005,5,5,3,1,,"ORANGE"
"CHOLET",49099,-0.880303, 47.058123,18/07/2005,4,4,3,1,,"VERT"
"CHOLET",49099,-0.880303, 47.058123,19/07/2005,3,3,2,1,,"VERT"
"CHOLET",49099,-0.880303, 47.058123,20/07/2005,3,3,2,2,,"VERT"
"CHOLET",49099,-0.880303, 47.058123,21/07/2005,3,3,2,1,,"VERT"
"CHOLET",49099,-0.880303, 47.058123,22/07/2005,4,4,2,1,,"VERT"
"CHOLET",49099,-0.880303, 47.058123,23/07/2005,3,3,2,1,,"VERT"
