"VILLE",CODE_INSEE,LONGITUDE,LATITUDE,DATE,INDICE_QUALITE_AIR,SOUS_INDICE_OZONE,SOUS_INDICE_PARTICULES_FINES,SOUS_INDICE_DIOXYDE_D'AZOTE,SOUS_INDICE_DIOXYDE_DE_SOUFRE,"CODE_COULEUR"
"LAVAL",53130,-0.770371, 48.072007,10/02/2005,3,3,2,1,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,11/02/2005,3,3,1,2,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,12/02/2005,4,4,1,1,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,13/02/2005,4,4,2,1,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,14/02/2005,3,3,2,2,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,15/02/2005,3,3,2,1,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,16/02/2005,3,3,2,2,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,17/02/2005,3,2,3,2,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,18/02/2005,3,2,3,2,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,19/02/2005,3,3,2,2,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,20/02/2005,3,3,2,2,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,21/02/2005,3,3,2,3,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,22/02/2005,3,2,3,2,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,23/02/2005,3,3,3,3,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,24/02/2005,3,3,3,3,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,25/02/2005,3,3,2,2,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,26/02/2005,4,4,4,2,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,27/02/2005,4,4,2,2,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,28/02/2005,3,3,2,3,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,01/03/2005,3,3,3,3,1,"VERT"
"LAVAL",53130,-0.770371, 48.072007,02/03/2005,3,3,2,2,1,"VERT"
